
[57500] train_recon_loss:11.166, test_recon_loss:11.652
[58000] train_recon_loss:11.317, test_recon_loss:11.672
[58500] train_recon_loss:11.145, test_recon_loss:11.636
[59000] train_recon_loss:11.298, test_recon_loss:11.654
[59500] train_recon_loss:11.124, test_recon_loss:11.621
[60000] train_recon_loss:11.276, test_recon_loss:11.635
[60500] train_recon_loss:11.107, test_recon_loss:11.606
[61000] train_recon_loss:11.256, test_recon_loss:11.617
[61500] train_recon_loss:11.090, test_recon_loss:11.591
[62000] train_recon_loss:11.234, test_recon_loss:11.600
[62500] train_recon_loss:11.074, test_recon_loss:11.577
[63000] train_recon_loss:11.214, test_recon_loss:11.585
[63500] train_recon_loss:11.059, test_recon_loss:11.563
[64000] train_recon_loss:11.191, test_recon_loss:11.570
[64500] train_recon_loss:11.043, test_recon_loss:11.549
[65000] train_recon_loss:11.173, test_recon_loss:11.556
[65500] train_recon_loss:11.030, test_recon_loss:11.536
[66000] train_recon_loss:11.158, test_recon_loss:11.542
[66500] train_recon_loss:11.018, test_recon_loss:11.524
[67000] train_recon_loss:11.144, test_recon_loss:11.529
[67500] train_recon_loss:11.006, test_recon_loss:11.513
[68000] train_recon_loss:11.129, test_recon_loss:11.516
[68500] train_recon_loss:10.994, test_recon_loss:11.503
[69000] train_recon_loss:11.118, test_recon_loss:11.504
[69500] train_recon_loss:10.984, test_recon_loss:11.493
[70000] train_recon_loss:11.109, test_recon_loss:11.492
[70500] train_recon_loss:10.974, test_recon_loss:11.483
[71000] train_recon_loss:11.097, test_recon_loss:11.481
[71500] train_recon_loss:10.967, test_recon_loss:11.475
[72000] train_recon_loss:11.090, test_recon_loss:11.472
[72500] train_recon_loss:10.956, test_recon_loss:11.466
[73000] train_recon_loss:11.077, test_recon_loss:11.462
[73500] train_recon_loss:10.947, test_recon_loss:11.457
[74000] train_recon_loss:11.067, test_recon_loss:11.454
[74500] train_recon_loss:10.936, test_recon_loss:11.449
[75000] train_recon_loss:11.060, test_recon_loss:11.446
[75500] train_recon_loss:10.926, test_recon_loss:11.441
[76000] train_recon_loss:11.050, test_recon_loss:11.439
[76500] train_recon_loss:10.919, test_recon_loss:11.433
[77000] train_recon_loss:11.044, test_recon_loss:11.432
[77500] train_recon_loss:10.911, test_recon_loss:11.426
[78000] train_recon_loss:11.037, test_recon_loss:11.426
[78500] train_recon_loss:10.904, test_recon_loss:11.419
[79000] train_recon_loss:11.031, test_recon_loss:11.421
[79500] train_recon_loss:10.896, test_recon_loss:11.413
[80000] train_recon_loss:11.027, test_recon_loss:11.415
