
[23000] train_recon_loss:12.844, test_recon_loss:13.208
[23200] train_recon_loss:12.883, test_recon_loss:13.124
[23400] train_recon_loss:12.720, test_recon_loss:12.950
[23600] train_recon_loss:12.774, test_recon_loss:12.991
[23800] train_recon_loss:12.946, test_recon_loss:13.062
[24000] train_recon_loss:12.739, test_recon_loss:13.038
[24200] train_recon_loss:12.865, test_recon_loss:13.009
[24400] train_recon_loss:12.576, test_recon_loss:12.836
[24600] train_recon_loss:12.711, test_recon_loss:12.923
[24800] train_recon_loss:12.862, test_recon_loss:12.906
[25000] train_recon_loss:12.626, test_recon_loss:12.901
[25200] train_recon_loss:12.777, test_recon_loss:12.938
[25400] train_recon_loss:12.434, test_recon_loss:12.818
[25600] train_recon_loss:12.626, test_recon_loss:12.888
[25800] train_recon_loss:12.803, test_recon_loss:12.737
[26000] train_recon_loss:12.584, test_recon_loss:12.811
[26200] train_recon_loss:12.672, test_recon_loss:12.868
[26400] train_recon_loss:12.307, test_recon_loss:12.732
[26600] train_recon_loss:12.437, test_recon_loss:12.794
[26800] train_recon_loss:12.789, test_recon_loss:12.631
[27000] train_recon_loss:12.399, test_recon_loss:12.784
[27200] train_recon_loss:12.559, test_recon_loss:12.760
[27400] train_recon_loss:12.241, test_recon_loss:12.613
[27600] train_recon_loss:12.296, test_recon_loss:12.655
[27800] train_recon_loss:12.664, test_recon_loss:12.557
[28000] train_recon_loss:12.211, test_recon_loss:12.728
[28200] train_recon_loss:12.533, test_recon_loss:12.723
[28400] train_recon_loss:12.157, test_recon_loss:12.519
[28600] train_recon_loss:12.167, test_recon_loss:12.617
[28800] train_recon_loss:12.533, test_recon_loss:12.505
[29000] train_recon_loss:12.119, test_recon_loss:12.583
[29200] train_recon_loss:12.534, test_recon_loss:12.703
[29400] train_recon_loss:12.092, test_recon_loss:12.505
[29600] train_recon_loss:12.098, test_recon_loss:12.432
[29800] train_recon_loss:12.453, test_recon_loss:12.478
[30000] train_recon_loss:12.005, test_recon_loss:12.455
[30200] train_recon_loss:12.475, test_recon_loss:12.757
[30400] train_recon_loss:12.046, test_recon_loss:12.355
[30600] train_recon_loss:11.943, test_recon_loss:12.340
[30800] train_recon_loss:12.300, test_recon_loss:12.432
[31000] train_recon_loss:11.948, test_recon_loss:12.325
[31200] train_recon_loss:12.301, test_recon_loss:12.709
[31400] train_recon_loss:11.948, test_recon_loss:12.230
[31600] train_recon_loss:11.844, test_recon_loss:12.268
[31800] train_recon_loss:12.160, test_recon_loss:12.321
[32000] train_recon_loss:11.910, test_recon_loss:12.219
[32200] train_recon_loss:12.137, test_recon_loss:12.598
[32400] train_recon_loss:11.881, test_recon_loss:12.143
[32600] train_recon_loss:11.734, test_recon_loss:12.196
[32800] train_recon_loss:12.014, test_recon_loss:12.220
[33000] train_recon_loss:11.857, test_recon_loss:12.127
[33200] train_recon_loss:12.070, test_recon_loss:12.462
[33400] train_recon_loss:11.839, test_recon_loss:12.046
[33600] train_recon_loss:11.639, test_recon_loss:12.102
[33800] train_recon_loss:11.891, test_recon_loss:12.128
[34000] train_recon_loss:11.786, test_recon_loss:12.035
[34200] train_recon_loss:11.965, test_recon_loss:12.335
[34400] train_recon_loss:11.775, test_recon_loss:11.971
[34600] train_recon_loss:11.570, test_recon_loss:12.007
[34800] train_recon_loss:11.798, test_recon_loss:12.044
[35000] train_recon_loss:11.690, test_recon_loss:11.969
[35200] train_recon_loss:11.909, test_recon_loss:12.237
[35400] train_recon_loss:11.686, test_recon_loss:11.914
[35600] train_recon_loss:11.524, test_recon_loss:11.968
[35800] train_recon_loss:11.736, test_recon_loss:11.956
[36000] train_recon_loss:11.656, test_recon_loss:11.917
[36200] train_recon_loss:11.832, test_recon_loss:12.206
[36400] train_recon_loss:11.626, test_recon_loss:11.857
[36600] train_recon_loss:11.488, test_recon_loss:11.949
[36800] train_recon_loss:11.684, test_recon_loss:11.888
[37000] train_recon_loss:11.608, test_recon_loss:11.873
[37200] train_recon_loss:11.726, test_recon_loss:12.145
[37400] train_recon_loss:11.579, test_recon_loss:11.810
[37600] train_recon_loss:11.457, test_recon_loss:11.909
[37800] train_recon_loss:11.629, test_recon_loss:11.829
[38000] train_recon_loss:11.547, test_recon_loss:11.824
[38200] train_recon_loss:11.609, test_recon_loss:12.033
[38400] train_recon_loss:11.516, test_recon_loss:11.768
[38600] train_recon_loss:11.413, test_recon_loss:11.872
[38800] train_recon_loss:11.571, test_recon_loss:11.780
[39000] train_recon_loss:11.511, test_recon_loss:11.779
[39200] train_recon_loss:11.525, test_recon_loss:11.907
[39400] train_recon_loss:11.454, test_recon_loss:11.743
[39600] train_recon_loss:11.355, test_recon_loss:11.815
[39800] train_recon_loss:11.541, test_recon_loss:11.734
[40000] train_recon_loss:11.427, test_recon_loss:11.747
[40200] train_recon_loss:11.454, test_recon_loss:11.799
[40400] train_recon_loss:11.387, test_recon_loss:11.702
[40600] train_recon_loss:11.318, test_recon_loss:11.730
[40800] train_recon_loss:11.554, test_recon_loss:11.695
[41000] train_recon_loss:11.354, test_recon_loss:11.706
[41200] train_recon_loss:11.390, test_recon_loss:11.737
[41400] train_recon_loss:11.339, test_recon_loss:11.654
[41600] train_recon_loss:11.280, test_recon_loss:11.663
[41800] train_recon_loss:11.550, test_recon_loss:11.691
[42000] train_recon_loss:11.286, test_recon_loss:11.651
[42200] train_recon_loss:11.346, test_recon_loss:11.670
[42400] train_recon_loss:11.301, test_recon_loss:11.617
[42600] train_recon_loss:11.253, test_recon_loss:11.624
[42800] train_recon_loss:11.518, test_recon_loss:11.684
[43000] train_recon_loss:11.246, test_recon_loss:11.608
[43200] train_recon_loss:11.330, test_recon_loss:11.602
[43400] train_recon_loss:11.286, test_recon_loss:11.581
[43600] train_recon_loss:11.223, test_recon_loss:11.597
[43800] train_recon_loss:11.447, test_recon_loss:11.646
[44000] train_recon_loss:11.200, test_recon_loss:11.570
[44200] train_recon_loss:11.321, test_recon_loss:11.566
[44400] train_recon_loss:11.275, test_recon_loss:11.559
[44600] train_recon_loss:11.170, test_recon_loss:11.577
[44800] train_recon_loss:11.362, test_recon_loss:11.585
[45000] train_recon_loss:11.160, test_recon_loss:11.533
[45200] train_recon_loss:11.284, test_recon_loss:11.542
[45400] train_recon_loss:11.236, test_recon_loss:11.544
[45600] train_recon_loss:11.100, test_recon_loss:11.539
[45800] train_recon_loss:11.299, test_recon_loss:11.549
[46000] train_recon_loss:11.129, test_recon_loss:11.504
[46200] train_recon_loss:11.239, test_recon_loss:11.510
[46400] train_recon_loss:11.197, test_recon_loss:11.532
[46600] train_recon_loss:11.054, test_recon_loss:11.500
[46800] train_recon_loss:11.252, test_recon_loss:11.519
[47000] train_recon_loss:11.102, test_recon_loss:11.478
[47200] train_recon_loss:11.194, test_recon_loss:11.474
[47400] train_recon_loss:11.162, test_recon_loss:11.504
[47600] train_recon_loss:11.017, test_recon_loss:11.459
[47800] train_recon_loss:11.216, test_recon_loss:11.489
[48000] train_recon_loss:11.070, test_recon_loss:11.456
[48200] train_recon_loss:11.144, test_recon_loss:11.436
[48400] train_recon_loss:11.116, test_recon_loss:11.470
[48600] train_recon_loss:10.985, test_recon_loss:11.419
[48800] train_recon_loss:11.172, test_recon_loss:11.458
[49000] train_recon_loss:11.048, test_recon_loss:11.433
[49200] train_recon_loss:11.097, test_recon_loss:11.408
[49400] train_recon_loss:11.068, test_recon_loss:11.426
[49600] train_recon_loss:10.956, test_recon_loss:11.383
[49800] train_recon_loss:11.142, test_recon_loss:11.431
[50000] train_recon_loss:11.021, test_recon_loss:11.411
python main_mod.py --train True --ckpt_name None --testing_method supervised_decoder     --encoder B --decoder BL --sbd False --encoder_target_type depth_black_white_xy_xy --n_filter 32 --n_rep 4     --optim_type SGD --batch_size 100 --lr 1e-2 --beta 0     --max_epoch 50 --gather_step 200 --display_step 50 --save_step 2500 
