
[23000] train_recon_loss:13.633, test_recon_loss:13.713
[23200] train_recon_loss:13.262, test_recon_loss:13.681
[23400] train_recon_loss:13.536, test_recon_loss:13.692
[23600] train_recon_loss:13.409, test_recon_loss:13.811
[23800] train_recon_loss:13.452, test_recon_loss:13.563
[24000] train_recon_loss:13.584, test_recon_loss:13.675
[24200] train_recon_loss:13.069, test_recon_loss:13.501
[24400] train_recon_loss:13.425, test_recon_loss:13.566
[24600] train_recon_loss:13.190, test_recon_loss:13.772
[24800] train_recon_loss:13.335, test_recon_loss:13.345
[25000] train_recon_loss:13.388, test_recon_loss:13.549
[25200] train_recon_loss:12.942, test_recon_loss:13.352
[25400] train_recon_loss:13.342, test_recon_loss:13.463
[25600] train_recon_loss:12.914, test_recon_loss:13.639
[25800] train_recon_loss:13.322, test_recon_loss:13.258
[26000] train_recon_loss:13.232, test_recon_loss:13.475
[26200] train_recon_loss:12.867, test_recon_loss:13.252
[26400] train_recon_loss:13.270, test_recon_loss:13.391
[26600] train_recon_loss:12.745, test_recon_loss:13.355
[26800] train_recon_loss:13.283, test_recon_loss:13.128
[27000] train_recon_loss:13.081, test_recon_loss:13.397
[27200] train_recon_loss:12.799, test_recon_loss:13.179
[27400] train_recon_loss:13.069, test_recon_loss:13.313
[27600] train_recon_loss:12.656, test_recon_loss:13.172
[27800] train_recon_loss:13.260, test_recon_loss:13.114
[28000] train_recon_loss:12.901, test_recon_loss:13.275
[28200] train_recon_loss:12.749, test_recon_loss:13.115
[28400] train_recon_loss:12.916, test_recon_loss:13.190
[28600] train_recon_loss:12.598, test_recon_loss:13.116
[28800] train_recon_loss:13.167, test_recon_loss:13.052
[29000] train_recon_loss:12.820, test_recon_loss:13.088
[29200] train_recon_loss:12.753, test_recon_loss:13.077
[29400] train_recon_loss:12.828, test_recon_loss:13.071
[29600] train_recon_loss:12.551, test_recon_loss:13.051
[29800] train_recon_loss:13.039, test_recon_loss:13.029
[30000] train_recon_loss:12.747, test_recon_loss:12.997
[30200] train_recon_loss:12.732, test_recon_loss:13.022
[30400] train_recon_loss:12.793, test_recon_loss:12.965
[30600] train_recon_loss:12.439, test_recon_loss:12.998
[30800] train_recon_loss:12.897, test_recon_loss:12.973
[31000] train_recon_loss:12.717, test_recon_loss:12.933
[31200] train_recon_loss:12.576, test_recon_loss:12.960
[31400] train_recon_loss:12.783, test_recon_loss:12.859
[31600] train_recon_loss:12.312, test_recon_loss:12.895
[31800] train_recon_loss:12.779, test_recon_loss:12.859
[32000] train_recon_loss:12.717, test_recon_loss:12.814
[32200] train_recon_loss:12.458, test_recon_loss:12.901
[32400] train_recon_loss:12.740, test_recon_loss:12.794
[32600] train_recon_loss:12.218, test_recon_loss:12.805
[32800] train_recon_loss:12.714, test_recon_loss:12.743
[33000] train_recon_loss:12.728, test_recon_loss:12.735
[33200] train_recon_loss:12.409, test_recon_loss:12.794
[33400] train_recon_loss:12.709, test_recon_loss:12.731
[33600] train_recon_loss:12.128, test_recon_loss:12.668
[33800] train_recon_loss:12.629, test_recon_loss:12.654
[34000] train_recon_loss:12.716, test_recon_loss:12.692
[34200] train_recon_loss:12.384, test_recon_loss:12.707
[34400] train_recon_loss:12.653, test_recon_loss:12.717
[34600] train_recon_loss:12.075, test_recon_loss:12.566
[34800] train_recon_loss:12.578, test_recon_loss:12.578
[35000] train_recon_loss:12.700, test_recon_loss:12.674
[35200] train_recon_loss:12.371, test_recon_loss:12.682
[35400] train_recon_loss:12.552, test_recon_loss:12.668
[35600] train_recon_loss:12.026, test_recon_loss:12.493
[35800] train_recon_loss:12.523, test_recon_loss:12.516
[36000] train_recon_loss:12.632, test_recon_loss:12.639
[36200] train_recon_loss:12.312, test_recon_loss:12.670
[36400] train_recon_loss:12.458, test_recon_loss:12.595
[36600] train_recon_loss:11.973, test_recon_loss:12.444
[36800] train_recon_loss:12.450, test_recon_loss:12.458
[37000] train_recon_loss:12.527, test_recon_loss:12.589
[37200] train_recon_loss:12.238, test_recon_loss:12.663
[37400] train_recon_loss:12.395, test_recon_loss:12.526
[37600] train_recon_loss:11.909, test_recon_loss:12.405
[37800] train_recon_loss:12.385, test_recon_loss:12.407
[38000] train_recon_loss:12.395, test_recon_loss:12.505
[38200] train_recon_loss:12.163, test_recon_loss:12.594
[38400] train_recon_loss:12.329, test_recon_loss:12.472
[38600] train_recon_loss:11.860, test_recon_loss:12.352
[38800] train_recon_loss:12.341, test_recon_loss:12.376
[39000] train_recon_loss:12.300, test_recon_loss:12.410
