
[23000] train_recon_loss:13.675, test_recon_loss:13.475
[23200] train_recon_loss:13.523, test_recon_loss:13.538
[23400] train_recon_loss:13.382, test_recon_loss:13.543
[23600] train_recon_loss:13.177, test_recon_loss:13.393
[23800] train_recon_loss:13.210, test_recon_loss:13.475
[24000] train_recon_loss:13.591, test_recon_loss:13.479
[24200] train_recon_loss:13.507, test_recon_loss:13.511
[24400] train_recon_loss:13.222, test_recon_loss:13.408
[24600] train_recon_loss:13.039, test_recon_loss:13.310
[24800] train_recon_loss:13.091, test_recon_loss:13.445
[25000] train_recon_loss:13.463, test_recon_loss:13.483
[25200] train_recon_loss:13.366, test_recon_loss:13.554
[25400] train_recon_loss:13.049, test_recon_loss:13.293
[25600] train_recon_loss:12.876, test_recon_loss:13.246
[25800] train_recon_loss:13.124, test_recon_loss:13.266
[26000] train_recon_loss:13.201, test_recon_loss:13.388
[26200] train_recon_loss:13.174, test_recon_loss:13.449
[26400] train_recon_loss:12.879, test_recon_loss:13.200
[26600] train_recon_loss:12.736, test_recon_loss:13.128
[26800] train_recon_loss:13.174, test_recon_loss:13.156
[27000] train_recon_loss:13.013, test_recon_loss:13.277
[27200] train_recon_loss:13.029, test_recon_loss:13.339
[27400] train_recon_loss:12.804, test_recon_loss:13.126
[27600] train_recon_loss:12.665, test_recon_loss:13.068
[27800] train_recon_loss:13.025, test_recon_loss:13.105
[28000] train_recon_loss:12.887, test_recon_loss:13.166
[28200] train_recon_loss:12.925, test_recon_loss:13.193
[28400] train_recon_loss:12.700, test_recon_loss:13.043
[28600] train_recon_loss:12.535, test_recon_loss:12.980
[28800] train_recon_loss:12.929, test_recon_loss:13.005
[29000] train_recon_loss:12.739, test_recon_loss:13.096
[29200] train_recon_loss:12.847, test_recon_loss:13.043
[29400] train_recon_loss:12.586, test_recon_loss:12.963
[29600] train_recon_loss:12.481, test_recon_loss:12.886
[29800] train_recon_loss:12.895, test_recon_loss:12.982
[30000] train_recon_loss:12.656, test_recon_loss:13.018
[30200] train_recon_loss:12.819, test_recon_loss:13.030
[30400] train_recon_loss:12.538, test_recon_loss:12.875
[30600] train_recon_loss:12.349, test_recon_loss:12.809
[30800] train_recon_loss:12.829, test_recon_loss:13.008
[31000] train_recon_loss:12.548, test_recon_loss:12.943
[31200] train_recon_loss:12.674, test_recon_loss:12.993
