
[57500] train_recon_loss:18.516, test_recon_loss:18.756
[58000] train_recon_loss:18.688, test_recon_loss:18.749
[58500] train_recon_loss:18.502, test_recon_loss:18.745
[59000] train_recon_loss:18.676, test_recon_loss:18.739
[59500] train_recon_loss:18.491, test_recon_loss:18.734
[60000] train_recon_loss:18.666, test_recon_loss:18.729
[60500] train_recon_loss:18.480, test_recon_loss:18.723
[61000] train_recon_loss:18.654, test_recon_loss:18.720
[61500] train_recon_loss:18.470, test_recon_loss:18.714
[62000] train_recon_loss:18.644, test_recon_loss:18.710
[62500] train_recon_loss:18.461, test_recon_loss:18.704
[63000] train_recon_loss:18.634, test_recon_loss:18.701
[63500] train_recon_loss:18.452, test_recon_loss:18.695
[64000] train_recon_loss:18.625, test_recon_loss:18.692
[64500] train_recon_loss:18.445, test_recon_loss:18.687
[65000] train_recon_loss:18.617, test_recon_loss:18.684
[65500] train_recon_loss:18.438, test_recon_loss:18.679
[66000] train_recon_loss:18.609, test_recon_loss:18.676
[66500] train_recon_loss:18.432, test_recon_loss:18.672
[67000] train_recon_loss:18.601, test_recon_loss:18.668
[67500] train_recon_loss:18.426, test_recon_loss:18.665
[68000] train_recon_loss:18.594, test_recon_loss:18.661
[68500] train_recon_loss:18.420, test_recon_loss:18.658
[69000] train_recon_loss:18.586, test_recon_loss:18.655
[69500] train_recon_loss:18.414, test_recon_loss:18.652
[70000] train_recon_loss:18.580, test_recon_loss:18.649
[70500] train_recon_loss:18.409, test_recon_loss:18.647
[71000] train_recon_loss:18.573, test_recon_loss:18.643
[71500] train_recon_loss:18.403, test_recon_loss:18.641
[72000] train_recon_loss:18.567, test_recon_loss:18.638
[72500] train_recon_loss:18.399, test_recon_loss:18.637
[73000] train_recon_loss:18.561, test_recon_loss:18.633
[73500] train_recon_loss:18.394, test_recon_loss:18.632
[74000] train_recon_loss:18.556, test_recon_loss:18.628
[74500] train_recon_loss:18.390, test_recon_loss:18.628
[75000] train_recon_loss:18.551, test_recon_loss:18.624
[75500] train_recon_loss:18.386, test_recon_loss:18.624
[76000] train_recon_loss:18.546, test_recon_loss:18.620
[76500] train_recon_loss:18.382, test_recon_loss:18.620
[77000] train_recon_loss:18.541, test_recon_loss:18.616
[77500] train_recon_loss:18.378, test_recon_loss:18.616
[78000] train_recon_loss:18.536, test_recon_loss:18.613
[78500] train_recon_loss:18.375, test_recon_loss:18.613
[79000] train_recon_loss:18.532, test_recon_loss:18.609
[79500] train_recon_loss:18.371, test_recon_loss:18.610
[80000] train_recon_loss:18.528, test_recon_loss:18.606
