
[23000] train_recon_loss:13.414, test_recon_loss:13.643
[23200] train_recon_loss:13.002, test_recon_loss:13.505
[23400] train_recon_loss:13.532, test_recon_loss:13.837
[23600] train_recon_loss:13.060, test_recon_loss:13.547
[23800] train_recon_loss:13.373, test_recon_loss:13.474
[24000] train_recon_loss:13.426, test_recon_loss:13.508
[24200] train_recon_loss:12.927, test_recon_loss:13.418
[24400] train_recon_loss:13.411, test_recon_loss:13.624
[24600] train_recon_loss:12.917, test_recon_loss:13.482
[24800] train_recon_loss:13.229, test_recon_loss:13.394
[25000] train_recon_loss:13.164, test_recon_loss:13.374
[25200] train_recon_loss:12.811, test_recon_loss:13.327
[25400] train_recon_loss:13.209, test_recon_loss:13.497
[25600] train_recon_loss:12.799, test_recon_loss:13.367
[25800] train_recon_loss:13.172, test_recon_loss:13.291
[26000] train_recon_loss:13.010, test_recon_loss:13.247
[26200] train_recon_loss:12.689, test_recon_loss:13.218
[26400] train_recon_loss:13.087, test_recon_loss:13.414
[26600] train_recon_loss:12.665, test_recon_loss:13.225
[26800] train_recon_loss:13.122, test_recon_loss:13.228
[27000] train_recon_loss:12.921, test_recon_loss:13.205
[27200] train_recon_loss:12.576, test_recon_loss:13.131
[27400] train_recon_loss:12.893, test_recon_loss:13.286
[27600] train_recon_loss:12.573, test_recon_loss:13.146
[27800] train_recon_loss:12.871, test_recon_loss:13.223
[28000] train_recon_loss:12.872, test_recon_loss:13.231
[28200] train_recon_loss:12.566, test_recon_loss:13.081
[28400] train_recon_loss:12.689, test_recon_loss:13.123
[28600] train_recon_loss:12.506, test_recon_loss:13.068
[28800] train_recon_loss:12.697, test_recon_loss:13.068
[29000] train_recon_loss:12.734, test_recon_loss:13.188
[29200] train_recon_loss:12.606, test_recon_loss:12.996
[29400] train_recon_loss:12.559, test_recon_loss:13.000
[29600] train_recon_loss:12.454, test_recon_loss:12.940
[29800] train_recon_loss:12.625, test_recon_loss:12.903
[30000] train_recon_loss:12.587, test_recon_loss:13.103
[30200] train_recon_loss:12.620, test_recon_loss:12.999
[30400] train_recon_loss:12.495, test_recon_loss:12.859
[30600] train_recon_loss:12.413, test_recon_loss:12.844
[30800] train_recon_loss:12.537, test_recon_loss:12.825
[31000] train_recon_loss:12.534, test_recon_loss:12.964
[31200] train_recon_loss:12.472, test_recon_loss:12.954
[31400] train_recon_loss:12.449, test_recon_loss:12.775
[31600] train_recon_loss:12.320, test_recon_loss:12.771
[31800] train_recon_loss:12.472, test_recon_loss:12.792
[32000] train_recon_loss:12.503, test_recon_loss:12.795
[32200] train_recon_loss:12.398, test_recon_loss:12.855
[32400] train_recon_loss:12.415, test_recon_loss:12.715
[32600] train_recon_loss:12.248, test_recon_loss:12.728
[32800] train_recon_loss:12.357, test_recon_loss:12.743
[33000] train_recon_loss:12.498, test_recon_loss:12.718
[33200] train_recon_loss:12.309, test_recon_loss:12.768
[33400] train_recon_loss:12.351, test_recon_loss:12.673
[33600] train_recon_loss:12.128, test_recon_loss:12.650
[33800] train_recon_loss:12.284, test_recon_loss:12.699
[34000] train_recon_loss:12.421, test_recon_loss:12.686
[34200] train_recon_loss:12.311, test_recon_loss:12.730
[34400] train_recon_loss:12.282, test_recon_loss:12.619
[34600] train_recon_loss:12.053, test_recon_loss:12.558
[34800] train_recon_loss:12.211, test_recon_loss:12.609
[35000] train_recon_loss:12.322, test_recon_loss:12.652
[35200] train_recon_loss:12.252, test_recon_loss:12.694
[35400] train_recon_loss:12.220, test_recon_loss:12.533
[35600] train_recon_loss:11.976, test_recon_loss:12.486
[35800] train_recon_loss:12.151, test_recon_loss:12.521
[36000] train_recon_loss:12.252, test_recon_loss:12.617
[36200] train_recon_loss:12.190, test_recon_loss:12.692
[36400] train_recon_loss:12.180, test_recon_loss:12.451
[36600] train_recon_loss:11.913, test_recon_loss:12.422
[36800] train_recon_loss:12.093, test_recon_loss:12.454
[37000] train_recon_loss:12.185, test_recon_loss:12.531
[37200] train_recon_loss:12.082, test_recon_loss:12.645
[37400] train_recon_loss:12.127, test_recon_loss:12.375
[37600] train_recon_loss:11.859, test_recon_loss:12.371
[37800] train_recon_loss:12.038, test_recon_loss:12.398
[38000] train_recon_loss:12.098, test_recon_loss:12.431
[38200] train_recon_loss:11.982, test_recon_loss:12.517
[38400] train_recon_loss:12.094, test_recon_loss:12.332
[38600] train_recon_loss:11.799, test_recon_loss:12.334
[38800] train_recon_loss:11.975, test_recon_loss:12.364
[39000] train_recon_loss:12.066, test_recon_loss:12.330
[39200] train_recon_loss:11.924, test_recon_loss:12.403
[39400] train_recon_loss:12.063, test_recon_loss:12.296
[39600] train_recon_loss:11.765, test_recon_loss:12.280
[39800] train_recon_loss:11.959, test_recon_loss:12.319
[40000] train_recon_loss:12.042, test_recon_loss:12.285
[40200] train_recon_loss:11.867, test_recon_loss:12.314
[40400] train_recon_loss:12.024, test_recon_loss:12.266
[40600] train_recon_loss:11.726, test_recon_loss:12.241
[40800] train_recon_loss:11.955, test_recon_loss:12.295
[41000] train_recon_loss:11.980, test_recon_loss:12.247
[41200] train_recon_loss:11.823, test_recon_loss:12.249
[41400] train_recon_loss:11.986, test_recon_loss:12.257
[41600] train_recon_loss:11.696, test_recon_loss:12.217
[41800] train_recon_loss:11.935, test_recon_loss:12.276
[42000] train_recon_loss:11.906, test_recon_loss:12.209
[42200] train_recon_loss:11.801, test_recon_loss:12.198
[42400] train_recon_loss:11.947, test_recon_loss:12.233
[42600] train_recon_loss:11.646, test_recon_loss:12.176
[42800] train_recon_loss:11.868, test_recon_loss:12.229
[43000] train_recon_loss:11.857, test_recon_loss:12.173
[43200] train_recon_loss:11.778, test_recon_loss:12.166
[43400] train_recon_loss:11.915, test_recon_loss:12.207
[43600] train_recon_loss:11.619, test_recon_loss:12.128
[43800] train_recon_loss:11.803, test_recon_loss:12.164
[44000] train_recon_loss:11.817, test_recon_loss:12.132
[44200] train_recon_loss:11.732, test_recon_loss:12.122
[44400] train_recon_loss:11.897, test_recon_loss:12.202
[44600] train_recon_loss:11.604, test_recon_loss:12.098
[44800] train_recon_loss:11.729, test_recon_loss:12.109
[45000] train_recon_loss:11.788, test_recon_loss:12.091
[45200] train_recon_loss:11.671, test_recon_loss:12.080
[45400] train_recon_loss:11.868, test_recon_loss:12.196
[45600] train_recon_loss:11.560, test_recon_loss:12.076
